"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
"100","Steven","King","SKING","515.123.4567","12/07/2007","AD_PRES","24000","","","90"
"101","Neena","Kochhar","NKOCHHAR","515.123.4568","03/13/2010","AD_VP","17000","","100","90"
"102","Lex","De Haan","LDEHAAN","515.123.4569","07/05/2013","AD_VP","17000","","100","90"
"103","Alexander","Hunold","AHUNOLD","590.423.4567","06/25/2010","IT_PROG","9000","","102","60"
"104","Bruce","Ernst","BERNST","590.423.4568","11/10/2011","IT_PROG","6000","","103","60"
"105","David","Austin","DAUSTIN","590.423.4569","12/15/2017","IT_PROG","4800","","103","60"
"106","Valli","Pataballa","VPATABAL","590.423.4560","07/28/2018","IT_PROG","4800","","103","60"
"107","Diana","Lorentz","DLORENTZ","590.423.5567","07/30/2019","IT_PROG","4200","","103","60"
"108","Nancy","Greenberg","NGREENBE","515.124.4569","02/06/2015","FI_MGR","12000","","101","100"
"109","Daniel","Faviet","DFAVIET","515.124.4169","02/05/2015","FI_ACCOUNT","9000","","108","100"
"110","John","Chen","JCHEN","515.124.4269","03/20/2018","FI_ACCOUNT","8200","","108","100"
"111","Ismael","Sciarra","ISCIARRA","515.124.4369","03/22/2018","FI_ACCOUNT","7700","","108","100"
"112","Jose Manuel","Urman","JMURMAN","515.124.4469","08/27/2018","FI_ACCOUNT","7800","","108","100"
"113","Luis","Popp","LPOPP","515.124.4567","05/28/2020","FI_ACCOUNT","6900","","108","100"
"114","Den","Raphaely","DRAPHEAL","515.127.4561","05/29/2015","PU_MAN","11000","","100","30"
"115","Alexander","Khoo","AKHOO","515.127.4562","11/07/2015","PU_CLERK","3100","","114","30"
"116","Shelli","Baida","SBAIDA","515.127.4563","06/15/2018","PU_CLERK","2900","","114","30"
"117","Sigal","Tobias","STOBIAS","515.127.4564","01/13/2018","PU_CLERK","2800","","114","30"
"118","Guy","Himuro","GHIMURO","515.127.4565","05/07/2019","PU_CLERK","2600","","114","30"
"119","Karen","Colmenares","KCOLMENA","515.127.4566","01/30/2020","PU_CLERK","2500","","114","30"
"120","Matthew","Weiss","MWEISS","650.123.1234","01/07/2017","ST_MAN","8000","","100","50"
"121","Adam","Fripp","AFRIPP","650.123.2234","09/30/2017","ST_MAN","8200","","100","50"
"122","Payam","Kaufling","PKAUFLIN","650.123.3234","10/21/2015","ST_MAN","7900","","100","50"
"123","Shanta","Vollman","SVOLLMAN","650.123.4234","04/01/2018","ST_MAN","6500","","100","50"
"124","Kevin","Mourgos","KMOURGOS","650.123.5234","05/07/2020","ST_MAN","5800","","100","50"
"125","Julia","Nayer","JNAYER","650.124.1214","01/05/2018","ST_CLERK","3200","","120","50"
"126","Irene","Mikkilineni","IMIKKILI","650.124.1224","03/20/2019","ST_CLERK","2700","","120","50"
"127","James","Landry","JLANDRY","650.124.1334","07/06/2019","ST_CLERK","2400","","120","50"
"128","Steven","Markle","SMARKLE","650.124.1434","08/28/2020","ST_CLERK","2200","","120","50"
"129","Laura","Bissot","LBISSOT","650.124.5234","02/09/2018","ST_CLERK","3300","","121","50"
"130","Mozhe","Atkinson","MATKINSO","650.124.6234","04/21/2018","ST_CLERK","2800","","121","50"
"131","James","Marlow","JAMRLOW","650.124.7234","08/08/2017","ST_CLERK","2500","","121","50"
"132","TJ","Olson","TJOLSON","650.124.8234","09/30/2019","ST_CLERK","2100","","121","50"
"133","Jason","Mallin","JMALLIN","650.127.1934","12/04/2016","ST_CLERK","3300","","122","50"
"134","Michael","Rogers","MROGERS","650.127.1834","02/15/2019","ST_CLERK","2900","","122","50"
"135","Ki","Gee","KGEE","650.127.1734","06/02/2020","ST_CLERK","2400","","122","50"
"136","Hazel","Philtanker","HPHILTAN","650.127.1634","07/28/2020","ST_CLERK","2200","","122","50"
"137","Renske","Ladwig","RLADWIG","650.121.1234","01/03/2016","ST_CLERK","3600","","123","50"
"138","Stephen","Stiles","SSTILES","650.121.2034","04/17/2018","ST_CLERK","3200","","123","50"
"139","John","Seo","JSEO","650.121.2019","08/04/2018","ST_CLERK","2700","","123","50"
"140","Joshua","Patel","JPATEL","650.121.1834","09/26/2018","ST_CLERK","2500","","123","50"
"141","Trenna","Rajs","TRAJS","650.121.8009","04/07/2016","ST_CLERK","3500","","124","50"
"142","Curtis","Davies","CDAVIES","650.121.2994","07/21/2017","ST_CLERK","3100","","124","50"
"143","Randall","Matos","RMATOS","650.121.2874","09/04/2018","ST_CLERK","2600","","124","50"
"144","Peter","Vargas","PVARGAS","650.121.2004","12/29/2018","ST_CLERK","2500","","124","50"
"145","John","Russell","JRUSSEL","011.44.1344.429268","03/23/2017","SA_MAN","14000",".4","100","80"
"146","Karen","Partners","KPARTNER","011.44.1344.467268","06/27/2017","SA_MAN","13500",".3","100","80"
"147","Alberto","Errazuriz","AERRAZUR","011.44.1344.429278","08/30/2017","SA_MAN","12000",".3","100","80"
"148","Gerald","Cambrault","GCAMBRAU","011.44.1344.619268","04/05/2020","SA_MAN","11000",".3","100","80"
"149","Eleni","Zlotkey","EZLOTKEY","011.44.1344.429018","07/20/2020","SA_MAN","10500",".2","100","80"
"150","Peter","Tucker","PTUCKER","011.44.1344.129268","07/22/2017","SA_REP","10000",".3","145","80"
"151","David","Bernstein","DBERNSTE","011.44.1344.345268","09/13/2017","SA_REP","9500",".25","145","80"
"152","Peter","Hall","PHALL","011.44.1344.478968","02/09/2018","SA_REP","9000",".25","145","80"
"153","Christopher","Olsen","COLSEN","011.44.1344.498718","09/19/2018","SA_REP","8000",".2","145","80"
"154","Nanette","Cambrault","NCAMBRAU","011.44.1344.987668","05/31/2019","SA_REP","7500",".2","145","80"
"155","Oliver","Tuvault","OTUVAULT","011.44.1344.486508","05/14/2020","SA_REP","7000",".15","145","80"
"156","Janette","King","JKING","011.44.1345.429268","07/21/2016","SA_REP","10000",".35","146","80"
"157","Patrick","Sully","PSULLY","011.44.1345.929268","08/24/2016","SA_REP","9500",".35","146","80"
"158","Allan","McEwen","AMCEWEN","011.44.1345.829268","01/21/2017","SA_REP","9000",".35","146","80"
"159","Lindsey","Smith","LSMITH","011.44.1345.729268","08/30/2017","SA_REP","8000",".3","146","80"
"160","Louise","Doran","LDORAN","011.44.1345.629268","06/06/2018","SA_REP","7500",".3","146","80"
"161","Sarath","Sewall","SSEWALL","011.44.1345.529268","04/25/2019","SA_REP","7000",".25","146","80"
"162","Clara","Vishney","CVISHNEY","011.44.1346.129268","05/03/2018","SA_REP","10500",".25","147","80"
"163","Danielle","Greene","DGREENE","011.44.1346.229268","09/08/2019","SA_REP","9500",".15","147","80"
"164","Mattea","Marvins","MMARVINS","011.44.1346.329268","07/15/2020","SA_REP","7200",".1","147","80"
"165","David","Lee","DLEE","011.44.1346.529268","08/14/2020","SA_REP","6800",".1","147","80"
